instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,algorithms_tested,seeds_tested,best_observed_objective,best_algorithm_ids,fastest_observed_wall_time_ms,fastest_algorithm_ids,depot_count,customer_count,salesman_count,return_to_depot,median_wall_time_ms,p90_wall_time_ms
g03t_i14_c750_d4_m5_trap,,13,13,13,1.0,13,1,9618.22421551878,lkh_mdmtsp_v5_portfolio,1.033,nearest_neighbour,4,750,5,True,240.233,30717.985800000006
g03t_i15_c750_d3_m4_trap,,13,13,13,1.0,13,1,9990.514333252047,lkh_mdmtsp_v5_portfolio,1.171,nearest_neighbour,3,750,4,True,271.752,30555.147000000004
g03t_i16_c750_d2_m3_trap,,13,13,13,1.0,13,1,9538.045301103302,lkh_mdmtsp_v5_portfolio,1.116,nearest_neighbour,2,750,3,True,164.388,29128.224400000006
g03t_i17_c750_d4_m5_trap,,13,13,13,1.0,13,1,9814.045478576189,lkh_mdmtsp_v5_portfolio,1.154,nearest_neighbour,4,750,5,True,190.104,30553.54660000001
g03t_i18_c750_d3_m4_trap,,13,13,13,1.0,13,1,10077.295698097918,lkh_mdmtsp_v5_portfolio,1.136,nearest_neighbour,3,750,4,True,249.077,29825.770600000003
g03t_i19_c750_d4_m5_trap,,13,13,13,1.0,13,1,10352.159971772007,cheapest_insertion_vnd,1.186,nearest_neighbour,4,750,5,True,224.692,30537.498600000003
g03t_i20_c750_d3_m4_trap,,13,13,13,1.0,13,1,11262.858185500314,lkh_mdmtsp_v5_portfolio,1.079,nearest_neighbour,3,750,4,True,297.591,29865.054200000002
g03t_i21_c750_d4_m5_trap,,13,13,13,1.0,13,1,11028.265823423832,cheapest_insertion_vnd,1.206,nearest_neighbour,4,750,5,True,254.662,30575.435200000004
g03t_i22_c750_d3_m4_trap,,13,13,13,1.0,13,1,11152.592797629884,"lkh_mdmtsp_v3,lkh_mdmtsp_v4_portfolio",1.264,nearest_neighbour,3,750,4,True,346.478,29735.765800000005
g03t_i23_c750_d4_m5_trap,,13,13,13,1.0,13,1,14242.906635649984,lkh_mdmtsp_v4_portfolio,1.092,nearest_neighbour,4,750,5,True,332.703,30403.833800000008
g03t_i24_c750_d3_m4_trap,,13,13,13,1.0,13,1,15148.032452975061,lkh_mdmtsp_v5_portfolio,1.291,nearest_neighbour,3,750,4,True,238.963,29706.952600000004
g03t_i25_c750_d2_m3_trap,,13,13,13,1.0,13,1,15043.322945253405,lkh_mdmtsp_v5_portfolio,1.065,nearest_neighbour,2,750,3,True,146.353,29363.210400000004
group_04_instance_01_customers_1000_depots_6_salesmen_11_random,random,11,11,11,1.0,11,1,27753.73829167239,lkh_mdmtsp_v5_portfolio,3.925,nearest_neighbour,6,1000,11,True,19.545,65277.946
