algorithm_id,instance_name,instance_type,runs,successful_runs,feasible_runs,feasible_rate,suite_names,depot_count,customer_count,salesman_count,return_to_depot,best_objective,mean_objective,median_objective,min_gap_to_best_observed,mean_gap_to_best_observed,median_gap_to_best_observed,min_time_ratio_to_fastest,mean_time_ratio_to_fastest,median_time_ratio_to_fastest,min_time_gap_to_fastest,mean_time_gap_to_fastest,median_time_gap_to_fastest,total_wall_time_s,mean_wall_time_ms,median_wall_time_ms,p90_wall_time_ms,median_wall_time_per_customer_us
cheapest_insertion,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,24355.64241092466,24355.64241092466,24355.64241092466,0.9075800036836923,0.9075800036836923,0.9075800036836923,2.57319587628866,2.57319587628866,2.57319587628866,1.5731958762886598,1.5731958762886598,1.5731958762886598,0.001248,1.248,1.248,1.248,2.496
cheapest_insertion_2opt,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,23843.81159690951,23843.81159690951,23843.81159690951,0.8674924457531115,0.8674924457531115,0.8674924457531115,3.1216494845360825,3.1216494845360825,3.1216494845360825,2.1216494845360825,2.1216494845360825,2.1216494845360825,0.001514,1.514,1.514,1.514,3.028
cheapest_insertion_tabu,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,23249.583677380604,23249.583677380604,23249.583677380604,0.8209513905922976,0.8209513905922976,0.8209513905922976,4.880412371134021,4.880412371134021,4.880412371134021,3.8804123711340206,3.8804123711340206,3.8804123711340206,0.002367,2.367,2.367,2.367,4.734
cheapest_insertion_vnd,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,20615.91782760785,20615.91782760785,20615.91782760785,0.6146776973491395,0.6146776973491395,0.6146776973491395,21399.25567010309,21399.25567010309,21399.25567010309,21398.25567010309,21398.25567010309,21398.25567010309,10.378639,10378.639,10378.639,10378.639,20757.278
nearest_neighbour,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,26069.357779834667,26069.357779834667,26069.357779834667,1.0418014343724522,1.0418014343724522,1.0418014343724522,1.0,1.0,1.0,0.0,0.0,0.0,0.00048499999999999997,0.485,0.485,0.485,0.97
nearest_neighbour_2opt,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,24812.00701126498,24812.00701126498,24812.00701126498,0.9433233427962672,0.9433233427962672,0.9433233427962672,1.6,1.6,1.6,0.6,0.6,0.6,0.000776,0.776,0.776,0.776,1.552
nearest_neighbour_2opt_v2,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,23787.903484874372,23787.903484874372,23787.903484874372,0.8631136166192884,0.8631136166192884,0.8631136166192884,1.7690721649484535,1.7690721649484535,1.7690721649484535,0.7690721649484537,0.7690721649484537,0.7690721649484537,0.000858,0.858,0.858,0.858,1.716
random_insertion,g03_i18_c500_d5_m15_adversarial,adversarial,1,1,1,1.0,research_group_03,5,500,15,True,12767.822248027309,12767.822248027309,12767.822248027309,0.0,0.0,0.0,2.2783505154639174,2.2783505154639174,2.2783505154639174,1.2783505154639174,1.2783505154639174,1.2783505154639174,0.001105,1.105,1.105,1.105,2.21
cheapest_insertion,g03_i19_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,25458.12148506181,25458.12148506181,25458.12148506181,0.933563686468971,0.933563686468971,0.933563686468971,3.6799163179916317,3.6799163179916317,3.6799163179916317,2.6799163179916317,2.6799163179916317,2.6799163179916317,0.001759,1.759,1.759,1.759,3.518
cheapest_insertion_2opt,g03_i19_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,24888.958833029497,24888.958833029497,24888.958833029497,0.8903353502262594,0.8903353502262594,0.8903353502262594,4.410041841004184,4.410041841004184,4.410041841004184,3.410041841004184,3.410041841004184,3.410041841004184,0.002108,2.108,2.108,2.108,4.216
cheapest_insertion_tabu,g03_i19_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,24339.024611435452,24339.024611435452,24339.024611435452,0.848567427897632,0.848567427897632,0.848567427897632,5.110878661087866,5.110878661087866,5.110878661087866,4.110878661087866,4.110878661087866,4.110878661087866,0.002443,2.443,2.443,2.443,4.886
cheapest_insertion_vnd,g03_i19_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,21782.83740060761,21782.83740060761,21782.83740060761,0.6544230653776679,0.6544230653776679,0.6544230653776679,19006.202928870294,19006.202928870294,19006.202928870294,19005.202928870294,19005.202928870294,19005.202928870294,9.084965,9084.965,9084.965,9084.965,18169.93
nearest_neighbour,g03_i19_c500_d4_m12_adversarial,adversarial,1,1,1,1.0,research_group_03,4,500,12,True,28007.397657683607,28007.397657683607,28007.397657683607,1.1271831503816732,1.1271831503816732,1.1271831503816732,1.0,1.0,1.0,0.0,0.0,0.0,0.00047799999999999996,0.478,0.478,0.478,0.956
